# clingo

6;0:03:00.87;1.875;2;1;?;0:10:00.00;0:06:50.62
6;0:03:00.87;3.0;1;1;?;0:10:00.00;0:06:50.62
6;0:03:00.87;4.875;3;2;?;0:10:00.00;0:06:50.62
6;0:03:00.87;6.0;2;2;?;0:10:00.00;0:06:50.62
6;0:03:00.87;7.875;4;3;?;0:10:00.00;0:06:50.62
6;0:03:00.87;9.0;3;3;?;0:10:00.00;0:06:50.62
6;0:03:00.87;10.875;5;4;?;0:10:00.00;0:06:50.62
6;0:03:00.87;13.875;6;5;?;0:10:00.00;0:06:50.62
6;0:03:00.88;15.375;7;6;?;0:10:00.00;0:06:50.62
6;0:03:00.88;15.375;7;5;?;0:10:00.00;0:06:50.62
6;0:03:00.89;16.125;8;5;?;0:10:00.00;0:06:50.62
6;0:03:00.89;16.875;10;6;?;0:10:00.00;0:06:50.62
6;0:03:00.90;17.25;11;6;?;0:10:00.00;0:06:50.62
6;0:03:00.90;17.625;12;6;?;0:10:00.00;0:06:50.62
7;0:00:30.89;0.0;0;0;0:00:30.52;0:00:30.87;0:06:50.62
7;0:00:30.90;3.0;1;1;0:00:30.52;0:00:30.87;0:06:50.62
7;0:00:30.90;6.0;2;2;0:00:30.52;0:00:30.87;0:06:50.62
7;0:00:30.90;9.0;3;3;0:00:30.52;0:00:30.87;0:06:50.62
7;0:00:30.90;12.0;4;4;0:00:30.52;0:00:30.87;0:06:50.62
8;;;;;?;0:10:00.00;0:06:50.62
9;0:02:12.22;0.0;0;0;0:02:11.85;0:02:11.85;0:06:50.62
10;0:02:08.97;0.0;0;0;0:02:08.59;0:08:03.16;0:06:50.62
10;0:02:08.98;1.5;1;1;0:02:08.59;0:08:03.16;0:06:50.62
10;0:02:08.98;1.875;2;1;0:02:08.59;0:08:03.16;0:06:50.62
10;0:02:08.98;2.25;3;1;0:02:08.59;0:08:03.16;0:06:50.62
10;0:02:08.98;3.25;4;1;0:02:08.59;0:08:03.16;0:06:50.62
10;0:02:08.98;4.0;5;2;0:02:08.59;0:08:03.16;0:06:50.62
10;0:02:08.98;5.0;6;3;0:02:08.59;0:08:03.16;0:06:50.62
10;0:02:08.98;5.0;6;2;0:02:08.59;0:08:03.16;0:06:50.62
11;;;;;?;0:10:00.00;0:06:50.62
12;0:00:01.89;0.0;0;0;0:00:01.52;0:00:01.75;0:06:50.62
12;0:00:01.89;3.0;1;1;0:00:01.52;0:00:01.75;0:06:50.62
12;0:00:01.89;6.0;2;2;0:00:01.52;0:00:01.75;0:06:50.62
12;0:00:01.89;9.0;3;3;0:00:01.52;0:00:01.75;0:06:50.62
12;0:00:01.89;12.0;4;4;0:00:01.52;0:00:01.75;0:06:50.62
13;0:04:03.42;0.0;0;0;?;0:10:00.00;0:06:50.62
13;0:04:03.42;3.0;1;1;?;0:10:00.00;0:06:50.62
13;0:04:03.42;4.875;3;2;?;0:10:00.00;0:06:50.62
13;0:04:03.42;7.875;4;3;?;0:10:00.00;0:06:50.62
13;0:04:03.43;9.375;5;4;?;0:10:00.00;0:06:50.62
13;0:04:03.43;9.375;5;3;?;0:10:00.00;0:06:50.62
13;0:04:03.44;10.375;6;3;?;0:10:00.00;0:06:50.62
13;0:04:03.44;11.375;7;4;?;0:10:00.00;0:06:50.62
13;0:04:03.44;11.625;10;5;?;0:10:00.00;0:06:50.62
13;0:04:03.45;11.625;10;4;?;0:10:00.00;0:06:50.62
13;0:04:03.45;11.625;10;3;?;0:10:00.00;0:06:50.62
13;0:04:03.45;11.75;8;5;?;0:10:00.00;0:06:50.62
13;0:04:03.46;13.125;11;6;?;0:10:00.00;0:06:50.62
13;0:04:03.46;16.125;12;7;?;0:10:00.00;0:06:50.62
13;0:04:03.46;16.125;12;6;?;0:10:00.00;0:06:50.62
13;0:04:03.47;16.125;12;5;?;0:10:00.00;0:06:50.62
14;;;;;?;0:10:00.00;0:06:50.62
15;;;;;?;0:10:00.00;0:06:50.62

# clingo (indexed)

1;;;;;?;0:10:00.00;0:10:00.00
2;;;;;?;0:10:00.00;0:10:00.00
3;;;;;?;0:10:00.00;0:10:00.00
4;;;;;?;0:10:00.00;0:10:00.00
5;;;;;?;0:10:00.00;0:10:00.00
6;;;;;?;0:10:00.00;0:10:00.00
7;;;;;?;0:10:00.00;0:10:00.00
8;;;;;?;0:10:00.00;0:10:00.00
9;;;;;?;0:10:00.00;0:10:00.00
10;;;;;?;0:10:00.00;0:10:00.00
11;;;;;?;0:10:00.00;0:10:00.00
12;;;;;?;0:10:00.00;0:10:00.00
13;;;;;?;0:10:00.00;0:10:00.00
14;;;;;?;0:10:00.00;0:10:00.00
15;;;;;?;0:10:00.00;0:10:00.00
